name,category,contraindications,description,drugInteractions,duration,effects,id,intensity,legalStatus,mechanismOfAction,onset,pharmacokinetics,preparation,region,scientificName,sideEffects,tags,therapeuticUses,toxicity,toxicityLD50,activeConstituents,affiliateLink,slug,compounds,sources,needsReview,image,safetyRating,dosage,commonNames,activeCompounds,traditionalUse
"Acacia confusa","Ritual / Visionary","Mental health conditions, SSRIs/MAOIs","A Taiwanese tree whose root bark is rich in DMT and related tryptamines. Commonly used in DIY Ayahuasca analogs or 'Anahuasca' brews.","MAOIs, antidepressants — risky","4–6 hrs","Visual distortion;mystical states;introspection","acacia-confusa","Strong","DMT restricted in many countries","DMT – 5-HT2A agonist; requires MAOI for oral activity","20–45 min","Onset: 20–45 min (oral w/ MAOI); Duration: 4–6 hrs","Root bark boiled with MAOI plant (e.g. Syrian Rue) to activate","Taiwan, Philippines, Pacific Islands","Acacia confusa","Strong visuals, nausea, anxiety","⚠️ caution;🌿 root bark;🧪 dmt","Spiritual exploration, traditional cleansing (when combined with MAOI)","Low physiological, high psychological risk","Not established","[object Object]","","acacia-confusa",,,,,,,,,
"Acacia maidenii","Ritual / Visionary","Mental illness, MAOI or SSRI medication","Australian acacia tree whose bark is rich in DMT and sometimes used in ayahuasca analogues.","Dangerous with MAOIs or serotonergic drugs","15 min – 6 h depending on route","strong visuals;mystical experience;euphoria","acacia-maidenii","Strong","DMT restricted in many countries","Root bark contains DMT that acts as a 5‑HT2A agonist; requires MAOI inhibition for oral activity","2–45 min depending on route","Smoked onset 2–3 min, duration 15–30 min; oral with MAOI onset 20–45 min, duration 4–6 h","Root bark traditionally combined with MAOI plants or smoked","Native to eastern Australia","Acacia maidenii","Nausea, anxiety, profound alterations of perception","australian;dmt;tree","Used in entheogenic brews for introspection and spiritual healing","Low physiological toxicity but intense psychological effects","Not established",,"","acacia-maidenii","DMT","https://erowid.org/plants/acacia_maidenii/;PubMed ID: 21798319;Trouts Notes – Acacia Alkaloid Profiles","false",,,,,,
"Yarrow","Astringent / Anti-inflammatory / Wound Care / Traditional European","Avoid during pregnancy due to potential uterine stimulation. Caution in ragweed-allergic individuals.","Named after Achilles, who used it to treat battlefield wounds, yarrow is a classic herb for bleeding, inflammation, and fevers. It's used internally for digestion and externally for cuts, bruises, and nosebleeds.","Mild interactions with anticoagulants or NSAIDs possible.",,"Wound healing;Fever reduction;Digestive support;Circulatory modulation","achillea-millefolium","Mild–Moderate","Legal worldwide","Rich in flavonoids, alkaloids, sesquiterpene lactones, and salicylic acid derivatives. Acts as an anti-inflammatory, astringent, and mild diaphoretic.","30–60 min","Orally and topically active. Onset varies; anti-inflammatory and diaphoretic effects noticeable within 30–60 min.","Infusion, tincture, poultice, sitz bath, or salve. Dried flowers and leaves used.","Europe, North America, temperate Asia","Achillea millefolium","Mild allergic reactions possible in sensitive individuals. Large internal doses may upset digestion.","🩸 Astringent;🌿 Wound care;🔥 Anti-inflammatory;🧘 Menstrual","Used for wounds, bleeding, fevers, GI discomfort, menstrual cramps, and varicose veins. Traditionally applied as poultice or tea.","Low","Not well established (safe in traditional use)",,,"achillea-millefolium","Thujone","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6331677/;British Herbal Compendium;Plants of the Gods – Rätsch","false",,,,,,
"Toothache Plant","Analgesic / Salivary stimulant / Traditional Amazonian","Avoid in pregnancy and with hypotension. May increase absorption of co-administered compounds.","Famous for its electric tingle, spilanthes is traditionally used for dental pain, infections, and immune stimulation. Its 'buzz buttons' offer a unique sensory experience and are increasingly used in mixology and herbalism.","May interact with blood pressure or CNS-active drugs due to salivation and mucosal absorption.",,"Numbing;Tingling;Salivation;Immune support","acmella-oleracea","Moderate–Strong (topical), Mild (systemic)","Legal worldwide","Spilanthol (an alkamide) activates TRPV1 channels, producing a tingling and numbing sensation. Also shown to enhance immune response and have antibacterial activity.","1–5 min","Topical and oral. Effects onset rapidly (seconds–minutes), lasting ~20–40 min. Systemic immune effects build over time.","Chewed fresh flower buds, tincture, teas, or topical ointments.","South America, widely cultivated","Acmella oleracea","Mouth tingling, temporary numbness, increased salivation. Rare allergic reaction.","⚡ Tingling;🦷 Tooth pain;🧪 Immune tonic;💧 Salivary","Used for toothache, sore throat, ulcers, immune support, dry mouth, and topical infections.","Low","Not fully established; high traditional safety margin",,,"acmella-oleracea",,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3817685/;Plants of the Gods – Rätsch;Journal of Ethnopharmacology","false",,,,,,
"Acorus americanus","Ethnobotanical",,"American Sweet Flag, native to North America, used by indigenous groups for its psychoactive and stimulant properties.",,,"alertness;mental clarity;mild euphoria","acorus-americanus",,"Unknown","Cholinergic + dopaminergic modulation",,,,"North America","Acorus americanus",,"native medicine;calamus species;uplifting",,,,,,"acorus-americanus","Alpha-asarone",,"false",,,,,,
"Acorus calamus","Calming / Dream","Pregnancy, high doses, liver disease","Fragrant wetland herb known as Sweet Flag; historically used for relaxation and vivid dreams.","Potential additive effects with other sedatives","2–4 h","calm;mild euphoria;dream enhancement","acorus-calamus","Mild","Generally legal, though some preparations restricted","Contains beta‑asarone which may modulate GABA and serotonin receptors","Around 30 min","Onset ~30 min orally, lasting 2–4 h","Dried rhizome chewed or made into tea","Europe, Asia, North America","Acorus calamus","Nausea, vomiting at large doses","dream;root;sedative","Traditionally used for digestion, anxiety and divination","Beta‑asarone may be carcinogenic in high doses","Exceeds 1 g/kg in rodents",,"","acorus-calamus",,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6383205/;PubChem CID: 73568;Botanical Safety Handbook, 2nd ed.","false","https://upload.wikimedia.org/wikipedia/commons/c/c5/Calamus_aromaticus_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-020.jpg",,,,,
"Acorus calamus var. angustatus","Ethnobotanical",,"A rare calamus variant high in beta-asarone, used in Tibetan medicine and ritual incense.",,,"trance;mental clarity;light hallucinations","acorus-calamus-angustatus",,"Unknown","GABAergic + cholinergic",,,,"Himalayas","Acorus calamus var. angustatus",,"ritual;variant;aromatic stimulant",,,,,,"acorus-calamus-angustatus","Beta-asarone",,"false",,,,,,
"Acorus gramineus","Ethnobotanical / Rare","Pregnancy, long-term use caution due to β-asarone.","Asian sweet flag containing β-asarone, sometimes taken for cognition.","May enhance CNS depressants.","Unknown","Cognitive clarity;trippy effects (debated)","acorus-gramineus","Mild","Legal / Unregulated","Contains β-asarone; may modulate acetylcholine and GABA pathways; traditional use for cognition.","15-45 min","Oral tea or tincture; slow onset (~1 hr); mild duration (2–3 hrs).","Tea or chewed","🇨🇳 East Asia","Unknown","Nausea at high doses, possible carcinogenic risk with long-term β-asarone exposure.","☕ brewable;✅ safe;💊 oral;🧠 cognitive","Cognitive enhancement, anxiety, neuroprotective potential.","Concerns over β-asarone carcinogenicity in some studies.","β-asarone LD50 (rat, oral): ~310 mg/kg.",,"","acorus-gramineus",,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3545267/;Botanical Safety Handbook;Journal of Ethnopharmacology, 2012","false",,"1",,,,
"Adhatoda vasica","Stimulant / Bronchodilator","Pregnancy; high doses may cause vomiting","Known as Vasaka or Malabar nut, this shrub’s leaves ease breathing and offer a subtle stimulating effect.","May potentiate other bronchodilators","3–4 h","clear breathing;mild stimulation;warming","adhatoda-vasica","Mild","Legal","Alkaloids such as vasicine act as bronchodilators and respiratory stimulants","30 min","Onset 30 min orally; effects last about 3–4 h","Leaves brewed as tea or taken as syrup","Indian subcontinent","Justicia adhatoda","Digestive upset at large doses","ayurveda;respiratory;vasaka","Ayurvedic herb for asthma, coughs and general vitality","Generally safe at therapeutic doses",">2 g/kg in rodents",,"","adhatoda-vasica",,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3249957/;Phytomedicine. 2000;7(1):37-44.;Ayurvedic Pharmacopoeia of India","false",,,,,,
"Aegle marmelos","Digestive / Mild Sedative","Severe GI obstruction","Bael tree used in Ayurvedic medicine for digestion and calm","None significant","2-4 hrs","calm;digestive relief","aegle-marmelos","Unknown","Legal","Coumarins like marmelosin exhibit mild sedative and GI effects","30 min","Oral","Fruit pulp dried or leaves as tea","South Asia","Aegle marmelos","Constipation in high amounts","🌿 ayurveda;🍈 fruit","Digestive tonic","Low","Not established","[object Object]","","aegle-marmelos","Marmelosin","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4027290/;Indian Journal of Traditional Knowledge, 2009;Ayurvedic Pharmacopoeia of India","false",,,"5-10 g dried fruit",,,
