type,id,name,slug,reason,action
compound,compound:aloe-vera,Aloe Vera,aloe-vera,duplicate-group:aloe vera,KEEP-CANONICAL-REVIEW
compound,compound:ashitaba,Ashitaba (Angelica keiskei),ashitaba,duplicate-group:ashitaba,KEEP-CANONICAL-REVIEW
compound,compound:berberine,Berberine,berberine,duplicate-group:berberine,KEEP-CANONICAL-REVIEW
compound,compound:berberine-hcl,Berberine,berberine-hcl,DUPLICATE-OF-compound:berberine,MERGE-KEEP-compound:berberine
compound,compound:blue-lotus,Blue Lotus,blue-lotus,DUPLICATE-OF-herb:blue-lotus,MERGE-KEEP-herb:blue-lotus
compound,compound:boswellia,Boswellia,boswellia,DUPLICATE-OF-herb:boswellia-serrata,MERGE-KEEP-herb:boswellia-serrata
compound,compound:cacao,Cacao,cacao,DUPLICATE-OF-herb:theobroma-cacao,MERGE-KEEP-herb:theobroma-cacao
compound,compound:cat-s-claw,Cat's Claw,cat-s-claw,duplicate-group:cat s claw,KEEP-CANONICAL-REVIEW
compound,compound:chaga,Chaga (Inonotus obliquus),chaga,DUPLICATE-OF-herb:chaga,MERGE-KEEP-herb:chaga
compound,compound:chamomile,Chamomile,chamomile,duplicate-group:chamomile,KEEP-CANONICAL-REVIEW
compound,compound:coenzyme-q10,Coenzyme Q10,coenzyme-q10,duplicate-group:coenzyme q10,KEEP-CANONICAL-REVIEW
compound,compound:coq10,Coenzyme Q10,coq10,DUPLICATE-OF-compound:coenzyme-q10,MERGE-KEEP-compound:coenzyme-q10
compound,compound:cordyceps,Cordyceps,cordyceps,duplicate-group:cordyceps,KEEP-CANONICAL-REVIEW
compound,compound:cranberry,Cranberry,cranberry,duplicate-group:cranberry,KEEP-CANONICAL-REVIEW
compound,compound:curcumin,Curcumin,curcumin,duplicate-group:curcumin,KEEP-CANONICAL-REVIEW
compound,compound:damiana,Damiana,damiana,DUPLICATE-OF-herb:damiana,MERGE-KEEP-herb:damiana
compound,compound:echinacea,Echinacea,echinacea,duplicate-group:echinacea,KEEP-CANONICAL-REVIEW
compound,compound:elderberry,Elderberry,elderberry,duplicate-group:elderberry,KEEP-CANONICAL-REVIEW
compound,compound:fenugreek,Fenugreek,fenugreek,DUPLICATE-OF-herb:trigonella-foenum-graecum,MERGE-KEEP-herb:trigonella-foenum-graecum
compound,compound:garlic,Garlic,garlic,DUPLICATE-OF-herb:allium-sativum,MERGE-KEEP-herb:allium-sativum
compound,compound:ginger,Ginger,ginger,duplicate-group:ginger,KEEP-CANONICAL-REVIEW
compound,compound:glycine,Glycine,glycine,duplicate-group:glycine,KEEP-CANONICAL-REVIEW
compound,compound:glycine-sleep,Glycine (Sleep Use),glycine-sleep,DUPLICATE-OF-compound:glycine,MERGE-KEEP-compound:glycine
compound,compound:glycyrrhizin,Glycyrrhizin,glycyrrhizin,DUPLICATE-OF-compound:glycyrrhizin-isolated,MERGE-KEEP-compound:glycyrrhizin-isolated
compound,compound:glycyrrhizin-isolated,Glycyrrhizin (Isolated),glycyrrhizin-isolated,duplicate-group:glycyrrhizin,KEEP-CANONICAL-REVIEW
compound,compound:goldenseal,Goldenseal,goldenseal,duplicate-group:goldenseal,KEEP-CANONICAL-REVIEW
compound,compound:gotu-kola,Gotu Kola (Centella asiatica),gotu-kola,duplicate-group:gotu kola,KEEP-CANONICAL-REVIEW
compound,compound:gotu-kola,Gotu Kola Centella asiatica,gotu-kola,duplicate-group:gotu kola centella asiatica,KEEP-CANONICAL-REVIEW
compound,compound:green-tea-extract,Green Tea Extract,green-tea-extract,duplicate-group:green tea extract,KEEP-CANONICAL-REVIEW
compound,compound:guarana,Guarana,guarana,DUPLICATE-OF-herb:guarana,MERGE-KEEP-herb:guarana
compound,compound:hawthorn,Hawthorn,hawthorn,duplicate-group:hawthorn,KEEP-CANONICAL-REVIEW
compound,compound:inositol,Inositol,inositol,DUPLICATE-OF-compound:inositol-sleep,MERGE-KEEP-compound:inositol-sleep
compound,compound:inositol-sleep,Inositol (Sleep/Anxiety Context),inositol-sleep,duplicate-group:inositol,KEEP-CANONICAL-REVIEW
compound,compound:kanna,Kanna (Sceletium tortuosum),kanna,duplicate-group:kanna,KEEP-CANONICAL-REVIEW
compound,compound:kava,Kava,kava,duplicate-group:kava,KEEP-CANONICAL-REVIEW
compound,compound:l-theanine,L-theanine,l-theanine,duplicate-group:l theanine,KEEP-CANONICAL-REVIEW
compound,compound:l-theanine-sleep,L-Theanine (Sleep Use),l-theanine-sleep,DUPLICATE-OF-compound:l-theanine,MERGE-KEEP-compound:l-theanine
compound,compound:l-tyrosine,L-Tyrosine,l-tyrosine,duplicate-group:l tyrosine,KEEP-CANONICAL-REVIEW
compound,compound:lavender,Lavender,lavender,duplicate-group:lavender,KEEP-CANONICAL-REVIEW
compound,compound:lemon-balm,Lemon balm,lemon-balm,duplicate-group:lemon balm,KEEP-CANONICAL-REVIEW
compound,compound:lions-mane,Lion's Mane,lions-mane,DUPLICATE-OF-herb:hericium-erinaceus,MERGE-KEEP-herb:hericium-erinaceus
compound,compound:maca,Maca,maca,duplicate-group:maca,KEEP-CANONICAL-REVIEW
compound,compound:milk-thistle,Milk Thistle,milk-thistle,duplicate-group:milk thistle,KEEP-CANONICAL-REVIEW
compound,compound:muira-puama,Muira Puama,muira-puama,DUPLICATE-OF-herb:muira-puama,MERGE-KEEP-herb:muira-puama
compound,compound:nettle-root,Nettle Root,nettle-root,duplicate-group:nettle root,KEEP-CANONICAL-REVIEW
compound,compound:nicotinamide-riboside,Nicotinamide riboside,nicotinamide-riboside,DUPLICATE-OF-compound:nr,MERGE-KEEP-compound:nr
compound,compound:nr,Nicotinamide riboside,nr,duplicate-group:nicotinamide riboside,KEEP-CANONICAL-REVIEW
compound,compound:passionflower,Passionflower,passionflower,duplicate-group:passionflower,KEEP-CANONICAL-REVIEW
compound,compound:passionflower-extract,Passionflower Extract,passionflower-extract,duplicate-group:passionflower extract,KEEP-CANONICAL-REVIEW
compound,compound:passionflower-extract-standardized,Passionflower Extract (Standardized),passionflower-extract-standardized,DUPLICATE-OF-compound:passionflower-extract,MERGE-KEEP-compound:passionflower-extract
compound,compound:pau-darco,Pau d'Arco,pau-darco,DUPLICATE-OF-herb:pau-d-arco,MERGE-KEEP-herb:pau-d-arco
compound,compound:phosphatidylserine,Phosphatidylserine,phosphatidylserine,duplicate-group:phosphatidylserine,KEEP-CANONICAL-REVIEW
compound,compound:quercetin,Quercetin,quercetin,duplicate-group:quercetin,KEEP-CANONICAL-REVIEW
compound,compound:reishi,Reishi,reishi,DUPLICATE-OF-herb:reishi,MERGE-KEEP-herb:reishi
compound,compound:resveratrol,Resveratrol,resveratrol,duplicate-group:resveratrol,KEEP-CANONICAL-REVIEW
compound,compound:saw-palmetto,Saw Palmetto,saw-palmetto,duplicate-group:saw palmetto,KEEP-CANONICAL-REVIEW
compound,compound:schisandra,Schisandra,schisandra,DUPLICATE-OF-herb:schisandra,MERGE-KEEP-herb:schisandra
compound,compound:skullcap,Skullcap,skullcap,DUPLICATE-OF-herb:scutellaria-lateriflora,MERGE-KEEP-herb:scutellaria-lateriflora
compound,compound:st-johns-wort,St. John's Wort,st-johns-wort,DUPLICATE-OF-herb:st-johns-wort,MERGE-KEEP-herb:st-johns-wort
compound,compound:taurine,Taurine,taurine,duplicate-group:taurine,KEEP-CANONICAL-REVIEW
