slug,name,scientificname,completeness_score,classification,priority,missing_fields
acacia-confusa,acacia confusa,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
acacia-maidenii,acacia maidenii,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
vachellia-nilotica,acacia nilotica,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
acorus-americanus,acorus americanus,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
acorus-calamus,acorus calamus,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
acorus-calamus-angustatus,acorus calamus var. angustatus,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
acorus-gramineus,acorus gramineus,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
adhatoda-vasica,adhatoda vasica,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
aegle-marmelos,aegle marmelos,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
african-dream-root,african dream root,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
albizia-julibrissin,albizia julibrissin,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
alchornea-castaneifolia,alchornea castaneifolia,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
aloysia-citrodora,aloysia citrodora,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
alpinia-galanga,alpinia galanga,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
amanita-muscaria,amanita muscaria,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
amanita-pantherina,amanita pantherina,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
american-ginseng,american ginseng,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
nelumbo-lutea,american yellow lotus,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
amorpha-fruticosa,amorpha fruticosa,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
anadenanthera-colubrina,anadenanthera colubrina,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
anadenanthera-colubrina-ceb-l,anadenanthera colubrina (cebíl),,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
anadenanthera-peregrina,anadenanthera peregrina,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
