Name,Scientificname,Region,Description,Effects,Mechanismofaction,Therapeuticuses,Sideeffects,Contraindications,Druginteractions,Toxicity,Legalstatus,Preparation,Onset,Intensity,Sources,Activecompounds,name_norm
Acacia confusa,Acacia confusa Merr.,Southeast Asia,Root bark contains DMT and related tryptamines; used in brews like Ayahuasca analogues.,"Psychedelic visions, altered perception",DMT and NMT interact with serotonin 5-HT2A receptors,"Spiritual exploration, depression (anecdotally)","Nausea, anxiety, overwhelming experiences","MAOI use, psychiatric disorders","MAOIs, SSRIs",Moderate (when orally activated),"Legal plant, DMT schedule varies",Bark extraction; combined with MAOIs,20–40 minutes (with MAOI),Strong,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8860794/,"DMT, NMT, tryptamines",acacia confusa
Acmella oleracea,Acmella oleracea (L.) R.K. Jansen,"Amazon basin, South America, Southeast Asia","Also called the 'toothache plant'; known for its tingling, numbing effects and minor psychoactive potential.","Tingling, saliva stimulation, slight mood enhancement",Spilanthol activates TRPA1/TRPV1 receptors; may indirectly influence endocannabinoid system,"Toothache, oral inflammation, fatigue, aphrodisiac","Excessive salivation, tingling, numbing","Pregnancy, oral ulcers",May enhance local anesthetics,Low,Legal,"Chewed raw flowers/leaves, tincture, extract",Immediate,Mild,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8664202/,"Spilanthol, α-amyrin, stigmasterol",acmella oleracea
Acorus calamus,Acorus calamus L.,"Asia, Europe, North America",‘Sweet flag’; used in Ayurvedic and Native traditions for trance induction and cognition.,"Stimulation, trance-like states, clarity","β-asarone modulates CNS excitation, possible serotonin effects","Cognition, memory, digestion","Nausea, hallucinations, carcinogenicity concerns","Pregnancy, epilepsy",CNS-active drugs,Moderate (depends on β-asarone content),Restricted in some regions,Chewed rhizome or tea,15–45 minutes,Moderate to strong,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4708623/,"β-asarone, α-asarone, volatile oils",acorus calamus
Acorus gramineus,Acorus gramineus Sol. ex Aiton,East Asia,Used in Chinese medicine and Taoist alchemy; mild psychoactive and nootropic effects reported.,"Lucid dreaming, memory enhancement, sensory clarity",Asarone compounds modulate neurotransmission and cognition,"Memory, clarity, divination aid","GI upset, potential carcinogenicity (β-asarone)","Pregnancy, liver disease","Sedatives, CNS stimulants",Low to moderate,Restricted in some countries due to β-asarone,Rhizome tea or powder,30–45 min,Mild to moderate,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6073407/,"α-asarone, β-asarone",acorus gramineus
Adenium obesum,Adenium obesum (Forssk.) Roem. & Schult.,"Sub-Saharan Africa, Arabia",Ornamental known as 'Desert Rose'; contains potent cardioactive glycosides used in hunting poisons.,Reported mild psychoactivity in traditional preparations; toxic,Cardenolides inhibit Na+/K+-ATPase,Folk use in heart disease and ritual poisoning,"Cardiotoxicity, nausea, dizziness","Heart conditions, all internal use","Cardiac glycosides, diuretics",High,Legal but hazardous,Latex used externally or diluted (not safe for ingestion),Fast,Moderate to severe,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3271693/,Cardenolides (ouabain-like),adenium obesum
Aerva lanata,Aerva lanata (L.) Juss. ex Schult.,"India, Africa",Traditional Ayurvedic herb used for urogenital disorders and mild CNS support.,"Mild CNS sedation, diuretic, anti-inflammatory","Flavonoids, alkaloids, and sterols modulating neurotransmission and inflammation","Urinary tract infections, kidney stones, mild mood stabilization",None reported at therapeutic dose,"Severe hypotension, dehydration","Diuretics, lithium",Low,Legal,Whole plant decoction or powder,1 hour,Mild,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4264349/,"Betulinic acid, alkaloids, flavonoids",aerva lanata
Aesculus hippocastanum,Aesculus hippocastanum L.,Europe,Horse chestnut; primarily used for venous insufficiency.,"Venotonic, anti-inflammatory, astringent",Aescin reduces capillary permeability and inflammation,"Varicose veins, hemorrhoids, leg swelling","GI upset, dizziness, headache","Kidney dysfunction, bleeding disorders","Anticoagulants, NSAIDs",Moderate (raw seed is toxic),Legal in standardized extract form,"Standardized extract, topical gels",Several days (chronic use),Mild to moderate,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5372994/,"Aescin, flavonoids, coumarins",aesculus hippocastanum
Agastache foeniculum,Agastache foeniculum (Pursh) Kuntze,North America,Anise hyssop; aromatic herb with carminative and antimicrobial properties.,"Carminative, antimicrobial, calming",Essential oils disrupt microbial membranes; mild CNS action,"Indigestion, cough, colds",None commonly reported,Pregnancy (caution),None known,Low,Legal,"Tea, infusion, tincture",30–60 minutes,Mild,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1124999/,"Estragole, limonene, methyl chavicol",agastache foeniculum
Agrimonia eupatoria,Agrimonia eupatoria L.,"Europe, Asia, North America",Agrimony; traditional astringent and digestive herb.,"Astringent, anti-inflammatory, hepatoprotective",Tannins and flavonoids modulate inflammation and tighten mucosa,"Diarrhea, sore throat, liver issues",Mild GI upset (rare),"Constipation, pregnancy","Anticoagulants, diuretics",Low,Legal,"Tea, tincture",30–60 minutes,Mild,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6073403/,"Agrimoniin, quercetin, catechins",agrimonia eupatoria
Alchemilla vulgaris,Alchemilla vulgaris L.,"Europe, temperate Asia",Lady's Mantle; traditional herb for women’s health and wound healing.,"Astringent, anti-inflammatory, hemostatic",Tannins tighten tissues and reduce bleeding; flavonoids modulate inflammation,"Menstrual issues, wound healing, diarrhea",GI irritation (rare),"Pregnancy, heavy constipation",Anticoagulants,Low,Legal,"Tea, infusion, topical wash",30–60 minutes,Mild,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7103648/,"Tannins, ellagic acid, flavonoids",alchemilla vulgaris
Alchornea castaneifolia,Alchornea castaneifolia (Bonpl. ex Willd.) A.Juss.,Amazon Basin,Used in traditional Amazonian medicine and sometimes in ayahuasca admixtures; anti-inflammatory and spirit medicine.,"Relaxation, subtle psychoactivity, analgesia",Flavonoids and terpenoids may modulate pain and mood pathways,"Rheumatism, arthritis, spiritual cleansing",Rare; mild sedation or dizziness,Unknown,Possible CNS depressants,Low,Legal,Bark decoction or poultice,45–60 min,Mild,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7581239/,"Flavonoids, triterpenes",alchornea castaneifolia
Aletris farinosa,Aletris farinosa L.,North America,Unicorn root; traditional uterine tonic in Native American medicine.,"Uterine tonic, bitter, anti-inflammatory",Bitter principles stimulate GI and reproductive systems,"Dysmenorrhea, menstrual irregularities, digestion",None commonly reported,"Pregnancy, GI ulcers",Unknown,Low,Legal,"Tincture, decoction",Several days (chronic use),Mild,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10020594/,"Steroidal saponins, glycosides",aletris farinosa
Allium sativum,Allium sativum L.,Global (originally Central Asia),Garlic; culinary and medicinal bulb with broad-spectrum effects.,"Antibacterial, antihypertensive, hypolipidemic, antiplatelet","Allicin and sulfur compounds modulate enzymes, reduce cholesterol, improve blood flow","Cardiovascular health, infections, immunity","Breath odor, GI upset, bleeding","Bleeding disorders, surgery","Anticoagulants, antiplatelets, antivirals",Low to moderate (raw in excess),Legal,"Raw, capsules, extracts, oils",1–2 hours,Moderate,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4103721/,"Allicin, ajoene, diallyl disulfide",allium sativum
Alnus rubra,Alnus rubra Bong.,North America (Pacific Northwest),Red alder; traditional astringent and detoxifier used by Native tribes.,"Astringent, lymphatic, anti-inflammatory",Tannins contract tissues; phenols act anti-inflammatory,"Skin conditions, sore throat, fevers",None well documented,"Pregnancy, long-term use",Unknown,Low,Legal,"Bark decoction, tincture",30–60 minutes,Mild,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6979308/,"Tannins, salicylates",alnus rubra
