id,common,scientific,category,intensity,region,legalstatus,description,effects,mechanismofaction,compound,tags,interactions,contraindications,dosage,therapeutic,safety,sideeffects,toxicity,toxicity_ld50,is_controlled_substance,sources
acacia-confusa,,Acacia confusa,ritual / visionary,Strong,"taiwan, philippines, pacific islands",DMT restricted in many countries,a taiwanese tree whose root bark is rich in dmt and related tryptamines. commonly used in diy ayahuasca analogs or 'anahuasca' brews.,Visual distortion;mystical states;introspection,DMT – 5-HT2A agonist; requires MAOI for oral activity,,⚠️ caution;🌿 root bark;🧪 dmt,"maois, antidepressants — risky","mental health conditions, ssris/maois",,"spiritual exploration, traditional cleansing (when combined with maoi)",,"strong visuals, nausea, anxiety","Low physiological, high psychological risk",Not established,false,
acacia-maidenii,,Acacia maidenii,ritual / visionary,Strong,native to eastern australia,DMT restricted in many countries,australian acacia tree whose bark is rich in dmt and sometimes used in ayahuasca analogues.,strong visuals;mystical experience;euphoria,Root bark contains DMT that acts as a 5‑HT2A agonist; requires MAOI inhibition for oral activity,DMT,australian;dmt;tree,dangerous with maois or serotonergic drugs,"mental illness, maoi or ssri medication",,used in entheogenic brews for introspection and spiritual healing,,"nausea, anxiety, profound alterations of perception",Low physiological toxicity but intense psychological effects,Not established,false,https://erowid.org/plants/acacia_maidenii/;PubMed ID: 21798319;Trouts Notes – Acacia Alkaloid Profiles
achillea-millefolium,,Achillea millefolium,astringent / anti-inflammatory / wound care / traditional european,Mild–Moderate,"europe, north america, temperate asia",Legal worldwide,"named after achilles, who used it to treat battlefield wounds, yarrow is a classic herb for bleeding, inflammation, and fevers. it's used internally for digestion and externally for cuts, bruises, and nosebleeds.",Wound healing;Fever reduction;Digestive support;Circulatory modulation,"Rich in flavonoids, alkaloids, sesquiterpene lactones, and salicylic acid derivatives. Acts as an anti-inflammatory, astringent, and mild diaphoretic.",Thujone,🩸 astringent;🌿 wound care;🔥 anti-inflammatory;🧘 menstrual,mild interactions with anticoagulants or nsaids possible.,avoid during pregnancy due to potential uterine stimulation. caution in ragweed-allergic individuals.,,"used for wounds, bleeding, fevers, gi discomfort, menstrual cramps, and varicose veins. traditionally applied as poultice or tea.",,mild allergic reactions possible in sensitive individuals. large internal doses may upset digestion.,Low,Not well established (safe in traditional use),false,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6331677/;British Herbal Compendium;Plants of the Gods – Rätsch
achillea-millefolium,,Achillea millefolium,sedative / analgesic,Unknown,northern hemisphere,Legal,common meadow herb with mild soothing effects.,relaxation;pain relief,Sesquiterpene lactones like chamazulene reduce inflammation and may calm nerves,,🌼 flower;😊 mild,may enhance sedatives,"pregnancy, asteraceae allergy",2-4 g dried herb,"digestive aid, wound healing, relaxation",,allergic reactions in some,Low,"~1.3 g/kg (rats, extract)",false,
acmella-oleracea,,Acmella oleracea,analgesic / salivary stimulant / traditional amazonian,"Moderate–Strong (topical), Mild (systemic)","south america, widely cultivated",Legal worldwide,"famous for its electric tingle, spilanthes is traditionally used for dental pain, infections, and immune stimulation. its 'buzz buttons' offer a unique sensory experience and are increasingly used in mixology and herbalism.",Numbing;Tingling;Salivation;Immune support,"Spilanthol (an alkamide) activates TRPV1 channels, producing a tingling and numbing sensation. Also shown to enhance immune response and have antibacterial activity.",,⚡ tingling;🦷 tooth pain;🧪 immune tonic;💧 salivary,may interact with blood pressure or cns-active drugs due to salivation and mucosal absorption.,avoid in pregnancy and with hypotension. may increase absorption of co-administered compounds.,,"used for toothache, sore throat, ulcers, immune support, dry mouth, and topical infections.",,"mouth tingling, temporary numbness, increased salivation. rare allergic reaction.",Low,Not fully established; high traditional safety margin,false,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3817685/;Plants of the Gods – Rätsch;Journal of Ethnopharmacology
acorus-americanus,,Acorus americanus,ethnobotanical,unknown,north america,Unknown,"american sweet flag, native to north america, used by indigenous groups for its psychoactive and stimulant properties.",alertness;mental clarity;mild euphoria,Cholinergic + dopaminergic modulation,Alpha-asarone,native medicine;calamus species;uplifting,none,none,,none,,none,,,false,
acorus-calamus,,Acorus calamus,calming / dream,Mild,"europe, asia, north america","Generally legal, though some preparations restricted",fragrant wetland herb known as sweet flag; historically used for relaxation and vivid dreams.,calm;mild euphoria;dream enhancement,Contains beta‑asarone which may modulate GABA and serotonin receptors,,dream;root;sedative,potential additive effects with other sedatives,"pregnancy, high doses, liver disease",,"traditionally used for digestion, anxiety and divination",,"nausea, vomiting at large doses",Beta‑asarone may be carcinogenic in high doses,Exceeds 1 g/kg in rodents,false,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6383205/;PubChem CID: 73568;Botanical Safety Handbook, 2nd ed."
acorus-calamus-angustatus,,Acorus calamus var. angustatus,ethnobotanical,unknown,himalayas,Unknown,"a rare calamus variant high in beta-asarone, used in tibetan medicine and ritual incense.",trance;mental clarity;light hallucinations,GABAergic + cholinergic,Beta-asarone,ritual;variant;aromatic stimulant,none,none,,none,,none,,,false,
acorus-gramineus,,Unknown,ethnobotanical / rare,Mild,🇨🇳 east asia,Legal / Unregulated,"asian sweet flag containing β-asarone, sometimes taken for cognition.",Cognitive clarity;trippy effects (debated),Contains β-asarone; may modulate acetylcholine and GABA pathways; traditional use for cognition.,,☕ brewable;✅ safe;💊 oral;🧠 cognitive,may enhance cns depressants.,"pregnancy, long-term use caution due to β-asarone.",,"cognitive enhancement, anxiety, neuroprotective potential.",1,"nausea at high doses, possible carcinogenic risk with long-term β-asarone exposure.",Concerns over β-asarone carcinogenicity in some studies.,"β-asarone LD50 (rat, oral): ~310 mg/kg.",false,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3545267/;Botanical Safety Handbook;Journal of Ethnopharmacology, 2012"
adhatoda-vasica,,Justicia adhatoda,stimulant / bronchodilator,Mild,indian subcontinent,Legal,"known as vasaka or malabar nut, this shrub’s leaves ease breathing and offer a subtle stimulating effect.",clear breathing;mild stimulation;warming,Alkaloids such as vasicine act as bronchodilators and respiratory stimulants,,ayurveda;respiratory;vasaka,may potentiate other bronchodilators,pregnancy; high doses may cause vomiting,,"ayurvedic herb for asthma, coughs and general vitality",,digestive upset at large doses,Generally safe at therapeutic doses,>2 g/kg in rodents,false,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3249957/;Phytomedicine. 2000;7(1):37-44.;Ayurvedic Pharmacopoeia of India
